publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Advances in Applied Probability	0001-8678	1475-6064	1969	1	1	2016			http://www.jstor.org/journal/advaapplprob		advaapplprob		fulltext	Moving Wall: 3 years		serial								P	06416179X
American Statistical Association Bulletin	2334-3915	2334-3907	1938	1	1	1946	6	4	http://www.jstor.org/journal/amerstatassocbu		amerstatassocbu		fulltext	Now: The American Statistician		serial								P	177878258
Annales d'Économie et de Statistique	0769-489X	2272-6497	1986		1	2008		91/92	http://www.jstor.org/journal/annaeconstat		annaeconstat		fulltext	Now: Annals of Economics and Statistics / Annales d'Économie et de Statistique		serial								P	177943068
Annales de l'inséé	0019-0209		1969		1	1985		59/60	http://www.jstor.org/journal/annalesinsee		annalesinsee		fulltext	now: Annals of Economics and Statistics		serial								P	
Annals of Economics and Statistics / Annales d'Économie et de Statistique	2115-4430	1968-3863	2009		93/94	2016			http://www.jstor.org/journal/annaeconstat2009		annaeconstat2009		fulltext	Previously: Annales d'Économie et de Statistique (1986-2008) Moving Wall: 3 years		serial								P	134010736
Bernoulli	1350-7265		1995	1	1/2	2014			http://www.jstor.org/journal/bernoulli		bernoulli		fulltext	Moving Wall: 5 years		serial								P	
Biometrics	0006-341X	1541-0420	1947	3	1	2014			http://www.jstor.org/journal/biometrics		biometrics		fulltext	Previously: Biometrics Bulletin (1946-1947) Moving Wall: 5 years		serial								P	081200129
Biometrics Bulletin	0099-4987		1945	1	1	1946	2	6	http://www.jstor.org/journal/biombull		biombull		fulltext	Now: Biometrics		serial								P	
Biometrika	0006-3444	1464-3510	1901	1	1	2014			https://www.jstor.org/journal/biometrika		biometrika		fulltext	Moving Wall: 5 years		serial								P	116647760
Cahiers du Séminaire d'Économétrie	0071-8343		1951		1	1985		27	https://www.jstor.org/journal/cahisemiecon		cahisemiecon		fulltext	now: Annals of Economics and Statistics (ISSN:0769-489X)		serial								P	
Econometrica	0012-9682	1468-0262	1933	1	1	2017			https://www.jstor.org/journal/econometrica		econometrica		fulltext	Moving Wall: 2 years		serial								P	242275710
Educational Studies in Mathematics	0013-1954	1573-0816	1968	1	1/2	2016			http://www.jstor.org/journal/educstudmath		educstudmath		fulltext	Moving Wall: 3 years		serial								P	098976508
General Report (Association for the Improvement of Geometrical Teaching)	2398-6646		1887	13		1893	19		http://www.jstor.org/journal/repoassoimprgeom		repoassoimprgeom		fulltext	Now: The Mathematical Gazette		serial								P	
International Statistical Review/ Revue Internationale de Statistique	0306-7734	1751-5823	1972	40	1	2014			http://www.jstor.org/journal/intestatrevirevu		intestatrevirevu		fulltext	Previously: Revue de l'Institut International de Statistique / Review of the International Statistical Institute (1933-1971) Moving Wall: 5 years		serial								P	116985623
Journal for Research in Mathematics Education	0021-8251	1945-2306	1970	1	1	2014			http://www.jstor.org/journal/jresematheduc		jresematheduc		fulltext	Moving Wall: 5 years		serial								P	167867210
Journal for Research in Mathematics Education. Monograph	0883-9530	2326-4039	1985	1		2008	14		http://www.jstor.org/journal/jresematheducmon		jresematheducmon		fulltext	Vol. 14 (2008) is the last issue published for this journal.		serial								P	187653275
Journal of Agricultural, Biological, and Environmental Statistics	1085-7117	1537-2693	1996	1	1	2014			http://www.jstor.org/journal/jagribiolenvista		jagribiolenvista		fulltext	Moving Wall: 5 years		serial								P	07686636X
